Date,Total Sleep Hours,First Sleep Start,Last Sleep End,Number of Sessions,Year,Month,Month Name,Day of Week,Day of Month,Week of Year,Bedtime,Wake Time,Sleep Duration (minutes)
2022-01-03,3.9091666666666667,2022-01-03 04:05:28+03:00,2022-01-03 04:05:28+03:00,1,2022,1,January,Monday,3,1,04:05,04:05,234.55
2022-01-04,6.0,2022-01-04 02:00:00+03:00,2022-01-04 02:00:00+03:00,1,2022,1,January,Tuesday,4,1,02:00,02:00,360.0
2022-01-05,6.000277777777778,2022-01-05 02:00:00+03:00,2022-01-05 02:00:00+03:00,1,2022,1,January,Wednesday,5,1,02:00,02:00,360.01666666666665
2022-01-06,5.463055555555556,2022-01-06 02:32:14+03:00,2022-01-06 02:32:14+03:00,1,2022,1,January,Thursday,6,1,02:32,02:32,327.78333333333336
2022-01-07,6.000277777777778,2022-01-07 02:00:00+03:00,2022-01-07 02:00:00+03:00,1,2022,1,January,Friday,7,1,02:00,02:00,360.01666666666665
2022-01-10,4.917777777777777,2022-01-10 03:04:57+03:00,2022-01-10 03:04:57+03:00,1,2022,1,January,Monday,10,2,03:04,03:04,295.06666666666666
2022-01-11,6.0,2022-01-11 02:00:00+03:00,2022-01-11 02:00:00+03:00,1,2022,1,January,Tuesday,11,2,02:00,02:00,360.0
2022-01-12,5.861111111111111,2022-01-12 02:08:20+03:00,2022-01-12 02:08:20+03:00,1,2022,1,January,Wednesday,12,2,02:08,02:08,351.66666666666663
2022-01-13,5.378888888888889,2022-01-13 02:37:17+03:00,2022-01-13 02:37:17+03:00,1,2022,1,January,Thursday,13,2,02:37,02:37,322.7333333333333
2022-01-14,6.000555555555556,2022-01-14 02:00:00+03:00,2022-01-14 02:00:00+03:00,1,2022,1,January,Friday,14,2,02:00,02:00,360.03333333333336
2022-01-17,6.0,2022-01-17 02:00:00+03:00,2022-01-17 02:00:00+03:00,1,2022,1,January,Monday,17,3,02:00,02:00,360.0
2022-01-18,3.7841666666666667,2022-01-18 04:12:57+03:00,2022-01-18 04:12:57+03:00,1,2022,1,January,Tuesday,18,3,04:12,04:12,227.05
2022-01-19,4.429722222222222,2022-01-19 03:34:15+03:00,2022-01-19 03:34:15+03:00,1,2022,1,January,Wednesday,19,3,03:34,03:34,265.7833333333333
2022-01-20,5.830277777777778,2022-01-20 02:00:00+03:00,2022-01-20 02:00:00+03:00,1,2022,1,January,Thursday,20,3,02:00,02:00,349.81666666666666
2022-01-21,1.7405555555555556,2022-01-21 06:15:34+03:00,2022-01-21 06:15:34+03:00,1,2022,1,January,Friday,21,3,06:15,06:15,104.43333333333334
2022-01-24,5.364444444444445,2022-01-24 02:37:15+03:00,2022-01-24 06:04:47+03:00,2,2022,1,January,Monday,24,4,02:37,06:04,321.8666666666667
2022-01-25,4.693333333333333,2022-01-25 03:18:24+03:00,2022-01-25 03:18:24+03:00,1,2022,1,January,Tuesday,25,4,03:18,03:18,281.6
2022-01-26,5.095277777777778,2022-01-26 02:54:03+03:00,2022-01-26 07:37:30+03:00,2,2022,1,January,Wednesday,26,4,02:54,07:37,305.71666666666664
2022-01-27,4.778888888888889,2022-01-27 03:13:16+03:00,2022-01-27 03:13:16+03:00,1,2022,1,January,Thursday,27,4,03:13,03:13,286.73333333333335
2022-01-28,4.86,2022-01-28 03:08:24+03:00,2022-01-28 03:08:24+03:00,1,2022,1,January,Friday,28,4,03:08,03:08,291.6
2022-01-31,5.733055555555556,2022-01-31 02:00:00+03:00,2022-01-31 04:47:53+03:00,2,2022,1,January,Monday,31,5,02:00,04:47,343.98333333333335
2022-02-01,5.4030555555555555,2022-02-01 02:35:49+03:00,2022-02-01 02:35:49+03:00,1,2022,2,February,Tuesday,1,5,02:35,02:35,324.18333333333334
2022-02-02,5.208055555555555,2022-02-02 02:47:32+03:00,2022-02-02 02:47:32+03:00,1,2022,2,February,Wednesday,2,5,02:47,02:47,312.4833333333333
2022-02-03,6.000555555555556,2022-02-03 02:00:00+03:00,2022-02-03 02:00:00+03:00,1,2022,2,February,Thursday,3,5,02:00,02:00,360.03333333333336
2022-02-04,5.963611111111112,2022-02-04 02:00:00+03:00,2022-02-04 05:05:53+03:00,2,2022,2,February,Friday,4,5,02:00,05:05,357.8166666666667
2022-02-07,5.961388888888889,2022-02-07 02:00:00+03:00,2022-02-07 02:00:00+03:00,1,2022,2,February,Monday,7,6,02:00,02:00,357.68333333333334
2022-02-08,5.423055555555555,2022-02-08 02:31:06+03:00,2022-02-08 05:42:50+03:00,2,2022,2,February,Tuesday,8,6,02:31,05:42,325.3833333333333
2022-02-09,3.9375,2022-02-09 04:03:45+03:00,2022-02-09 04:03:45+03:00,1,2022,2,February,Wednesday,9,6,04:03,04:03,236.25
2022-02-10,5.920555555555556,2022-02-10 02:00:00+03:00,2022-02-10 06:44:20+03:00,3,2022,2,February,Thursday,10,6,02:00,06:44,355.23333333333335
2022-02-11,3.1180555555555554,2022-02-11 04:52:55+03:00,2022-02-11 04:52:55+03:00,1,2022,2,February,Friday,11,6,04:52,04:52,187.08333333333331
2022-02-14,4.011666666666667,2022-02-14 01:36:25+03:00,2022-02-14 04:09:17+03:00,2,2022,2,February,Monday,14,7,01:36,04:09,240.7
2022-02-15,7.069444444444445,2022-02-15 00:55:00+03:00,2022-02-15 07:31:35+03:00,2,2022,2,February,Tuesday,15,7,00:55,07:31,424.1666666666667
2022-02-16,3.836388888888889,2022-02-16 04:09:49+03:00,2022-02-16 04:09:49+03:00,1,2022,2,February,Wednesday,16,7,04:09,04:09,230.18333333333334
2022-02-17,6.778611111111111,2022-02-17 01:13:19+03:00,2022-02-17 01:13:19+03:00,1,2022,2,February,Thursday,17,7,01:13,01:13,406.7166666666667
2022-02-18,5.3311111111111105,2022-02-18 02:24:27+03:00,2022-02-18 07:37:18+03:00,2,2022,2,February,Friday,18,7,02:24,07:37,319.8666666666666
2022-02-21,7.083333333333333,2022-02-21 00:55:00+03:00,2022-02-21 00:55:00+03:00,1,2022,2,February,Monday,21,8,00:55,00:55,425.0
2022-02-22,6.055,2022-02-22 00:55:00+03:00,2022-02-22 00:55:00+03:00,1,2022,2,February,Tuesday,22,8,00:55,00:55,363.29999999999995
2022-02-23,7.064444444444444,2022-02-23 00:55:00+03:00,2022-02-23 07:31:50+03:00,2,2022,2,February,Wednesday,23,8,00:55,07:31,423.8666666666666
2022-02-24,6.239166666666667,2022-02-24 00:55:00+03:00,2022-02-24 06:52:41+03:00,2,2022,2,February,Thursday,24,8,00:55,06:52,374.35
2022-02-25,6.575555555555556,2022-02-25 00:55:00+03:00,2022-02-25 03:10:42+03:00,2,2022,2,February,Friday,25,8,00:55,03:10,394.53333333333336
2022-02-28,4.848333333333334,2022-02-28 03:09:06+03:00,2022-02-28 03:09:06+03:00,1,2022,2,February,Monday,28,9,03:09,03:09,290.90000000000003
